pickup_ca,mean_fare_per_mile,deprivation,n_trips
1,3.466356214270139,-0.1266598349171427,36958
2,3.4589016071037126,-0.06013821085131522,20476
3,3.874607674395715,-0.24130017526454328,96985
4,3.710138217023321,-0.6162807473943185,37269
5,4.172086512718154,-0.9874522663081005,37218
6,4.7035575640414455,-0.9574025456270405,301639
7,4.9604893347993775,-1.050339982723017,255227
8,5.797052583479152,-0.9498386862169099,755271
9,3.4061770722181683,-0.8839620067890787,1339
10,3.0023200692903576,-0.6307706963017523,4169
11,2.8441374565290745,-0.5072628837332159,5604
12,2.716577143423631,-0.9429972827413251,1634
13,3.2250827445899497,-0.2508249911959962,5761
14,3.3285137585882496,-0.08460269623427154,15530
15,3.054755215420043,-0.47102494661209154,12359
16,3.3146074887261414,-0.42671175163625225,22960
17,2.729517940429305,-0.4597187706061954,2708
18,3.0475071471880324,-0.2632451107565974,2342
19,3.2875765036080487,-0.060417623540323935,13176
20,3.381907931799772,-0.009810229635797585,4607
21,3.6481832799801173,-0.3584549081670019,35742
22,4.225231943038298,-0.589065456069496,125690
23,3.4888517053975763,0.34033352387527843,22152
24,4.732564727674906,-0.8288176566762143,230232
25,3.125860262466203,0.624825967852909,31379
26,3.1698435994818976,0.8921170207453022,4425
27,3.1566026395497864,1.0230165113294107,8637
28,5.162007833211752,-0.5193398055913586,405304
29,3.2891158390782502,0.7204458736714302,18705
30,3.059706450193834,0.48649169632522643,8449
31,3.797588429119086,0.024647721150065954,36730
32,5.6027426141600705,-1.0082193180185641,388746
33,4.6101555038699304,-0.8771470574339325,93923
34,3.85254220829626,0.5370478360445138,15255
35,3.114712718352934,0.4960548415331534,15634
36,3.1227491941613374,1.0333977570126112,3017
37,3.5256404176053975,1.4136977277169873,1268
38,3.1349240557411804,0.13726098360092884,11690
39,3.794488805978495,-0.10513990575081712,14196
40,3.1608332357005944,1.3634667701101266,7391
41,6.109968715051064,-0.6917821246497927,113562
42,5.122937365649033,0.5534044336901283,31231
43,3.2000089196100423,0.5821587076465522,24814
44,3.2230789419636086,0.516338585393104,19118
45,3.287268085220058,0.20449703186120818,4214
46,3.0406949254727857,0.568306350113001,5626
47,3.151060768073071,-0.22797028539857545,1204
48,2.935817419131059,-0.19225430212220126,2384
49,2.8747549555176666,0.3328074248119614,11638
50,2.7107289065616667,0.24834453420979627,4365
51,2.931871110518543,0.7454915195543013,4327
52,2.472303166521736,0.08570095759538007,116
53,2.702230658967933,0.5031783001736884,4353
54,2.4523775773149605,1.7562452835597355,1928
55,2.1814320246337475,-0.14568062030185927,336
56,2.3914494780070688,-0.5418874151682331,39854
57,2.935157673546287,-0.18718106011728186,2197
58,3.063296330478171,0.3140458777291925,5239
59,2.9446814628804256,-0.11588382145257996,3788
60,3.0941817587368328,-0.019072666397512726,9835
61,2.8408024980458206,0.6559587341741658,5722
62,3.247555192044978,-0.18746268669603813,1494
63,3.136511783862244,0.17134352239984205,3454
64,2.8995908294989228,-0.3761623919188848,763
65,2.9367174339346636,-0.09141056494633597,3209
66,3.1031935585787784,0.4140452319229766,9107
67,2.859084650625059,0.7973898909951068,3452
68,3.061443324849171,0.9998723687478881,10477
69,3.1315011238013355,0.7788058640065421,15288
70,2.862299927527453,-0.26344216669708875,3997
71,3.1458173560814804,0.5638797350366259,14606
72,2.8038971759435327,-0.9231666366797902,1122
73,2.875394263881165,0.011227854169322959,6122
74,3.403491439347049,-0.9053672389841827,493
75,2.8892449695402944,-0.08322397654234483,4599
76,2.0617595195308303,-0.19997134883256593,122109
77,3.6442939327613595,-0.4769815850605333,52148
