check,coef,se,p,n,r2,note,acs_dep_income_corr
Daytime only,-0.21412659259377778,0.14717669251196558,0.14569841025544072,1678939.0,0.7090998672020051,,
Swap key: Median Income ($10k),0.014629235965196937,0.003924303229530752,0.00019311592994526475,3660088.0,0.6728817689723869,,
Swap key: % Poverty,-0.007772212283361794,0.001403784935349347,3.0837896217100706e-08,3660088.0,0.6741627119317848,,
Swap key: % Black Residents,-0.0019002114024163647,0.00039132890371530976,1.199070685704277e-06,3660088.0,0.6721163338812537,,
Swap key: Deprivation Score,-0.1031426938432951,0.017158202314219776,1.8406844828088047e-09,3660088.0,0.6739477275018336,,
Company FE,,,,,,Skipped (only one company category),
Drop trips < 1 mile,-0.15771643592783105,0.15370513393059906,0.30484568297341574,3292876.0,0.621679135734859,,
Drop income control (deprivation-only),-0.1031426938432951,0.017158202314219776,1.8406844828088047e-09,3660088.0,0.6739477275018336,,-0.9521180953855927
