Cluster,Trips/1k residents (rideshare),Trips/1k residents (taxi),Mean total fare ($),Mean distance (miles),Median household income ($),Annual fare as % of income
High poverty / transit deserts,443.2373685316595,26.802622893536057,12.508300069695242,5.527641132864474,39919.35743051751,0.16666037825922644
Mixed / higher deprivation,525.0563984809207,15.423691015631599,13.02061790781736,5.670333321344435,68713.25900252056,0.1193928306225263
Mixed / lower deprivation,237.1817370231441,2.347614260652464,13.49963513892787,5.177007577883806,73344.31110552678,0.05238634375046947
Affluent / low deprivation,2179.885935446256,103.41207110313421,14.022821987709847,4.448261818936394,121878.79991614012,0.3009693477189594
