deprivation_quartile,trip_type,mean_fare_per_mile,mean_distance_miles,mean_duration_sec,n_trips
Q1 (least),rideshare,4.51954786521337,3.8679903365060926,813.0565155975656,75749
Q1 (least),taxi,5.912138631964476,1.9884317162892287,541.0458386021381,34796
Q2,rideshare,2.8980207415111248,8.935892575039494,1326.7330173775672,9495
Q2,taxi,4.667405569698686,4.48000962000962,646.8686868686868,2079
Q3,rideshare,2.999752759959775,5.335525643210087,1023.8084852615438,5869
Q3,taxi,4.684492194457814,6.014328205128205,697.7538461538461,975
Q4 (most),rideshare,3.0913467434283093,5.356338627339762,957.6297504254112,7052
Q4 (most),taxi,4.541028798397402,6.614733131923464,734.1691842900302,993
